lhs,rhs,support,confidence,lift
green tea,almonds,1.98%,13.33%,6.733333333333333
almonds,green tea,1.98%,100.00%,6.733333333333333
honey,avocado,1.98%,40.00%,5.05
avocado,honey,1.98%,25.00%,5.05
shrimp,avocado,1.98%,33.33%,4.208333333333334
avocado,shrimp,1.98%,25.00%,4.208333333333334
avocado,soup,1.98%,25.00%,2.805555555555556
soup,avocado,1.98%,22.22%,2.805555555555556
mineral water,black tea,1.98%,7.69%,2.58974358974359
black tea,mineral water,1.98%,66.67%,2.58974358974359
salmon,black tea,1.98%,40.00%,13.466666666666667
black tea,salmon,1.98%,66.67%,13.466666666666667
black tea,spaghetti,1.98%,66.67%,3.3666666666666667
spaghetti,black tea,1.98%,10.00%,3.3666666666666667
green tea,body spray,2.97%,20.00%,5.05
body spray,green tea,2.97%,75.00%,5.05
ham,body spray,1.98%,66.67%,16.833333333333336
body spray,ham,1.98%,50.00%,16.833333333333336
pancakes,body spray,1.98%,100.00%,25.25
body spray,pancakes,1.98%,50.00%,25.25
body spray,soup,2.97%,75.00%,8.416666666666668
soup,body spray,2.97%,33.33%,8.416666666666666
green tea,brownies,1.98%,13.33%,6.733333333333333
brownies,green tea,1.98%,100.00%,6.733333333333333
cooking oil,burgers,1.98%,50.00%,5.05
burgers,cooking oil,1.98%,20.00%,5.05
burgers,eggs,4.95%,50.00%,2.6578947368421053
eggs,burgers,4.95%,26.32%,2.657894736842105
burgers,french fries,2.97%,30.00%,2.164285714285714
french fries,burgers,2.97%,21.43%,2.1642857142857137
burgers,grated cheese,1.98%,20.00%,5.05
grated cheese,burgers,1.98%,50.00%,5.05
burgers,green tea,3.96%,40.00%,2.6933333333333334
green tea,burgers,3.96%,26.67%,2.6933333333333334
herb & pepper,burgers,1.98%,40.00%,4.039999999999999
burgers,herb & pepper,1.98%,20.00%,4.039999999999999
meatballs,burgers,1.98%,50.00%,5.05
burgers,meatballs,1.98%,20.00%,5.05
pasta,burgers,1.98%,50.00%,5.05
burgers,pasta,1.98%,20.00%,5.05
burgers,shrimp,1.98%,20.00%,3.3666666666666667
shrimp,burgers,1.98%,33.33%,3.3666666666666667
chocolate,chicken,1.98%,15.38%,3.1076923076923078
chicken,chocolate,1.98%,40.00%,3.1076923076923073
chicken,eggs,1.98%,40.00%,2.126315789473684
eggs,chicken,1.98%,10.53%,2.126315789473684
mineral water,chicken,2.97%,11.54%,2.3307692307692305
chicken,mineral water,2.97%,60.00%,2.3307692307692305
chocolate,frozen vegetables,2.97%,23.08%,2.9134615384615383
frozen vegetables,chocolate,2.97%,37.50%,2.9134615384615383
ground beef,chocolate,1.98%,33.33%,2.58974358974359
chocolate,ground beef,1.98%,15.38%,2.58974358974359
milk,chocolate,1.98%,28.57%,2.2197802197802194
chocolate,milk,1.98%,15.38%,2.21978021978022
chocolate,shrimp,1.98%,15.38%,2.58974358974359
shrimp,chocolate,1.98%,33.33%,2.58974358974359
mineral water,cider,1.98%,7.69%,3.8846153846153846
cider,mineral water,1.98%,100.00%,3.8846153846153846
cooking oil,eggs,1.98%,50.00%,2.6578947368421053
eggs,cooking oil,1.98%,10.53%,2.657894736842105
mineral water,cooking oil,2.97%,11.54%,2.9134615384615383
cooking oil,mineral water,2.97%,75.00%,2.9134615384615383
turkey,cooking oil,1.98%,22.22%,5.611111111111112
cooking oil,turkey,1.98%,50.00%,5.611111111111112
mineral water,cottage cheese,1.98%,7.69%,3.8846153846153846
cottage cheese,mineral water,1.98%,100.00%,3.8846153846153846
fresh tuna,eggs,1.98%,50.00%,2.6578947368421053
eggs,fresh tuna,1.98%,10.53%,2.657894736842105
herb & pepper,eggs,1.98%,40.00%,2.126315789473684
eggs,herb & pepper,1.98%,10.53%,2.126315789473684
meatballs,eggs,1.98%,50.00%,2.6578947368421053
eggs,meatballs,1.98%,10.53%,2.657894736842105
pasta,eggs,1.98%,50.00%,2.6578947368421053
eggs,pasta,1.98%,10.53%,2.657894736842105
turkey,eggs,3.96%,44.44%,2.3625730994152048
